ID,Title,Rating,Video-Source,Text,Ground-truth ,Emotion,Aspect,Domain
R3UZNJKRHYI09V,"2.0 out of 5 stars
 Smells like chemical","<span class=""a-icon-alt"">2.0 out of 5 stars</span>",https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/6b08f021-e1ec-4a65-979a-4c8559035eff/default.vertical.jobtemplate.hls.m3u8,"Plastic used smells like chemicals, if you smell it you will feel wheather you should use this bottle or not. Looks like it will be harmful to use because of pungent smell.",The user wants complaint that the plastic black bottle smells like chemicals. if you smell it you will feel wheather you should use this bottle or not. Looks like it will be harmful to use because of pungent smell.,blame,"Quality, Finishing,  Usability",Household Item
R3NY042Q3WHRVF,"1.0 out of 5 stars
 The lock on top is not working. Returning it.","<span class=""a-icon-alt"">1.0 out of 5 stars</span>",https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/152b2e88-eff9-44a6-b017-0d4014a96247/default.vertical.jobtemplate.hls.m3u8,Lock is not working on top. Prone to spills during work out. Faulty product delivered,The user wants complaint that the bottle cap is not working properly. Water can be leaked. The top of the bottle is not tight and locking.,blame,"Qualiy, Usability.",Household Item
R33FB9F170IFUU,"2.0 out of 5 stars
 Asian Shoes Review","<span class=""a-icon-alt"">2.0 out of 5 stars</span>",https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/64fbb8e4-888c-489a-ae34-812d58e709ac/default.vertical.jobtemplate.hls.m3u8,Dekho Mai to ye kahunga jab itna paisa laga kar is product ko kharid rahe hai to isse acha hai aap koi company ki product Lelo kya hai sab kuch to thik hai thoda quality ka problem hai jitna paise liye hai utna acha to quality nhi hai,The user wants complaint that the quality of the shoe is not good. The quality looks dull. Even the shoes does not look new.,blame,"Quality, Colour.",Fashion
R2JZAC3U9GJ2QU,"1.0 out of 5 stars
 All the keys are broken","<span class=""a-icon-alt"">1.0 out of 5 stars</span>",https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/c88b1f91-13f9-476f-971d-efbc1aa2c412/default.vertical.jobtemplate.hls.m3u8,I purchased Zebronics ZEB-KM2100 Multimedia USB Keyboard Comes with 114 Keys Including 12 Dedicated Multimedia Keys & with Rupee Key but all the keys are broken. Amazon team is also not supporting us.,The user wants complaint that he received a damaged product and outline of the keyboard is very bad. the top portion it was broken. Even the key buttons are broken and fell off.,dissatisfaction ,"Design, Quality, Usability",Electronic Gadgets
RV98ZQO6NUFH7,"1.0 out of 5 stars
 I return the product...","<span class=""a-icon-alt"">1.0 out of 5 stars</span>",https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/cc954262-8922-479d-8890-389ef60087f8/default.jobtemplate.hls.m3u8,Product is very very bad. And the packaging what the packaging I don't believe so bad packaging box is fully damage. No seal in the box full open box and I have done give warranty card in in in into the box so what is this so I return the product and this product it's not value for money please don't buy this product very very bad product. And I request zebronics please improve your packaging . We are giving money for this product so so also weird demand a value for money product very bad product. I request everyone please don't buy this product.,The user wants complaint that the receive key board is broken. The quality is very bad. it is torned out. The keyboard is damaged.,dissatisfaction ,"Design, Quality, Usability",Electronic Gadgets
R39KLEFQC0MN0W,"1.0 out of 5 stars
 Hardest keys ever in a keyboard. You cant type a single thing","<span class=""a-icon-alt"">1.0 out of 5 stars</span>",https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/4d0efc58-4a8c-48d7-9981-98f605ebb202/default.jobtemplate.hls.m3u8,"The worst keyboard ever , the keys are so hard that you can not even type anything on this.The first keyboard was so disgusting that i opted for a replacement thinking that maybe that was a faulty peice.The second one I received the same modelWas still the sameExtremely poor and cheap quality of a keyboardIf i knew this was such poor quality product I would’ve never ordered itI have now ordered amkette keyboard which is extremely superior to this one",The user wants complaint the zebranix keyboard is not working.The backspace arrow button is not working.rest are working,disappointment,"Design, Quality, Usability",Electronic Gadgets
R17CULQ1LMMOCY,"1.0 out of 5 stars
 The product isn't working","<span class=""a-icon-alt"">1.0 out of 5 stars</span>",https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/f4b9ce36-1d27-40b0-8eb1-6cb64ed52d57/default.jobtemplate.hls.m3u8,"Video Player is loading.Play VideoPlayMuteCurrent Time /Duration Loaded: 0%Stream Type LIVESeek to live, currently behind liveLIVERemaining Time - 1xPlayback RateChaptersChaptersDescriptionsdescriptions off, selectedCaptionscaptions off, selectedAudio Trackdefault, selectedFullscreenThis is a modal window.
 
 
 The product isn't working. This is the 2nd time I got the product after replacement. This product also doesn't work. Please return it. I don't require such a pathetic product.",The user wants complaint the zebranix keyboard is not working.The key buttonens are not working. It is connected but in the computer screen it is not showing. The keyboard is damaged,disappointment,"Design, Quality, Usability",Electronic Gadgets
R7K4R45J677TU,"1.0 out of 5 stars
 Worst ... Doesn't work properly... Not smooth keys ...","<span class=""a-icon-alt"">1.0 out of 5 stars</span>",https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/80320fc0-5cda-40f0-9408-948f0600f627/default.jobtemplate.hls.m3u8,Keyboard is not good we have to to properly at the centre we have to press the keyboard key every key which is not possible every time because I have used Othersss keyboard which are quite smooth and wish you a press anywhere on that keep it works but for this keyboard of zebronics it doesn't work so not happy rather not at all usable now,"The user wants complaint the zebranix keyboard is not working.The backspace arrow button , enter button, ctrl button is not working.",disappointment,"Design, Quality, Usability",Electronic Gadgets
R3HE48X947L2CD,"1.0 out of 5 stars
 Keyboard not supporting to system of computer","<span class=""a-icon-alt"">1.0 out of 5 stars</span>",https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/66acffbb-3bf2-4648-896c-5a7260fcb58c/default.jobtemplate.hls.m3u8,not working properly and not connecting to computer system not supporting,The user wants complaint the zebranix keyboard is not working.The numslock button and capslock buttons are not working. Even the lights are not blinking,disappointment,"Quality, Usability",Electronic Gadgets
R1GEOO1JTIO430,"1.0 out of 5 stars
 This is the worst keyboard ever I have a seen","<span class=""a-icon-alt"">1.0 out of 5 stars</span>",https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/735795bd-b1d6-4f39-b2f0-3fffbea6fca7/default.jobtemplate.hls.m3u8,"This key board is completely useless, I bought it earlier, some of the keys didn't work, so I replaced it and ordered this Othersss keyboard, but none of the keys work on this one. Please don't waste your money and time.",The user wants complaint the zebranix keyboard is not working.The key buttonens are not working. It is connected but in the computer screen it is not showing. The keyboard is damaged,disappointment,"Quality, Usability",Electronic Gadgets
