ID,Title,Rating,Video-Source,Text,Ground-truth ,Emotion,Aspect,Domain
R3UZNJKRHYI09V,"2.0 out of 5 stars
 Smells like chemical","<span class=""a-icon-alt"">2.0 out of 5 stars</span>",https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/6b08f021-e1ec-4a65-979a-4c8559035eff/default.vertical.jobtemplate.hls.m3u8,"Plastic used smells like chemicals, if you smell it you will feel wheather you should use this bottle or not. Looks like it will be harmful to use because of pungent smell.",The user wants complaint that the plastic black bottle smells like chemicals. if you smell it you will feel wheather you should use this bottle or not. Looks like it will be harmful to use because of pungent smell.,blame,"Quality, Finishing,  Usability",Household Item
R12ZN5OFE1SZFF,"1.0 out of 5 stars
 Damaged","<span class=""a-icon-alt"">1.0 out of 5 stars</span>",https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/586e7267-431b-4127-bb10-c5d42d539759/default.vertical.jobtemplate.hls.m3u8,Not recommended,The user wants complaint that the bottle cap is not working properly. Water can be leaked. The top of the bottle is not tight and locking.,blame,"Quality, Usabilty",Household Item
R3NY042Q3WHRVF,"1.0 out of 5 stars
 The lock on top is not working. Returning it.","<span class=""a-icon-alt"">1.0 out of 5 stars</span>",https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/152b2e88-eff9-44a6-b017-0d4014a96247/default.vertical.jobtemplate.hls.m3u8,Lock is not working on top. Prone to spills during work out. Faulty product delivered,The user wants complaint that the bottle cap is not working properly. Water can be leaked. The top of the bottle is not tight and locking.,blame,"Qualiy, Usability.",Household Item
RFNFVN6345EZW,"1.0 out of 5 stars
 Leakage ever time I use waste of money","<span class=""a-icon-alt"">1.0 out of 5 stars</span>",https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/adb3b97f-b0e8-4a58-b499-beb12f0d8484/default.vertical.jobtemplate.hls.m3u8,Leakage don’t buy,"The user wants complaint that the bottle cap is not working properly.a malfunctioning bottle cap. The cap does not tighten or lock securely onto the bottle, resulting in the liquid contents spilling onto the ground and causing a mess.",dissatisfaction ,"Quality, Usabilty",Household Item
R2W60PZSPQNZQN,"1.0 out of 5 stars
 Do not buy","<span class=""a-icon-alt"">1.0 out of 5 stars</span>",https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/e9f1f0ec-28ce-404f-817e-c07de10a6f7a/default.vertical.jobtemplate.hls.m3u8,"The bottle is suppose to be a Protein shaker, but it leaks.","The user wants complaint that the bottle cap is not working properly.a malfunctioning bottle cap. The cap does not tighten or lock securely onto the bottle, resulting in the liquid contents spilling onto the ground and causing a mess.",dissatisfaction ,"Quality, Usabilty",Household Item
R33FB9F170IFUU,"2.0 out of 5 stars
 Asian Shoes Review","<span class=""a-icon-alt"">2.0 out of 5 stars</span>",https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/64fbb8e4-888c-489a-ae34-812d58e709ac/default.vertical.jobtemplate.hls.m3u8,Dekho Mai to ye kahunga jab itna paisa laga kar is product ko kharid rahe hai to isse acha hai aap koi company ki product Lelo kya hai sab kuch to thik hai thoda quality ka problem hai jitna paise liye hai utna acha to quality nhi hai,The user wants complaint that the quality of the shoe is not good. The quality looks dull. Even the shoes does not look new.,blame,"Quality, Colour.",Fashion
R63RIXOMK7NSA,"1.0 out of 5 stars
 these shoes do not remain coloured","<span class=""a-icon-alt"">1.0 out of 5 stars</span>",https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/95766e3f-1213-432a-9742-27510ab3268b/default.vertical.jobtemplate.hls.m3u8,"Please return my product sir, the colour of these shoes has changed, please change it",The user wants complaint that after washing the shoes the white colur has turned into grey and the customer care has refused to exchange these shoes since it is more than 15 days. The user also suggest not to buy this,frustration,"Quality, Usability, Colour.",Fashion
R2IGYCD40HRL1W,"1.0 out of 5 stars
 Material quality and finishing bekkar","<span class=""a-icon-alt"">1.0 out of 5 stars</span>",https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/a8a64bad-3815-4e5c-9d5d-627afa07ed1c/default.jobtemplate.hls.m3u8,"The shoe is not at all the same as shown in the image..It is uncomfortable, the shoe is bent upwards towards the toe and it makes us feel to just remove the shoes,But at such a rate u can't expect too much, the finishing is pathatic, gum was there on the heel side and the outsole was cracked.. not sure if it was used product, overall if u don't have money go for it else if u can afford try some Othersss shoes please...","The user wants complaint the shoe is not at all the same as shown in the image. It is uncomfortable; the shoe is bent upwards towards the toe, making you feel like removing it immediately. But at such a price, you can't expect too much. The finishing is pathetic: there was gum on the heel side, and the outsole was cracked. Not sure if it was a used product. Overall, if you don't have much money, go for it; Otherssswise, if you can afford it, please try some Othersss shoes.",frustration,"Quality, Usability, Designing, Finishing",Fashion
R2QP990V6UU2VY,"1.0 out of 5 stars
 Purab quality dirty shoes","<span class=""a-icon-alt"">1.0 out of 5 stars</span>",https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/db32e716-3c8a-4e01-8a97-84efe07cf181/default.vertical.jobtemplate.hls.m3u8,Bottom face not parallel to the earth that wise is sleeping chances and small damages gum pasting and not good finish & not good clining,The user wants complaint that the Bottom face of the shoes is not parallel to the earth that wise is sleeping chances and small damages gum pasting and not good finish & not good clining,frustration,"Finishing, Design",Fashion
RZ9ZFWXZ4WZS0,"1.0 out of 5 stars
 My device is Malfunctioning","<span class=""a-icon-alt"">1.0 out of 5 stars</span>",https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/d81462c0-d413-4ac4-be3e-e63ea7ee2c74/default.jobtemplate.hls.m3u8,"I ordered this Go tripin travel scale on the 11th of July, 2023, and was delivered on 14th July, 2023. Initially, l had plans to travel in August but canceled it so never used this scale until this month l'm ready to travel and the scale is malfunctioning. At the time of purchase, I fixed the battery in and tested it then and it came after which l removed battery and packed it. This is my first time of usage and the product is misbehaving. Please l need replacement right away and it's urgent!!","The user wants to convey that I ordered this Go Tripin travel scale on July 11, 2023, and it was delivered on July 14, 2023. Initially, I had plans to travel in August but canceled them, so I never used the scale until this month when I'm ready to travel, and now the scale is malfunctioning. At the time of purchase, I inserted the battery and tested it, and it worked; afterward, I removed the battery and packed it. This is my first time using it, and the product is misbehaving. Please, I need a replacement right away—it's urgent!",disappointment,"Time, Usability",Electronic Gadgets
